Column1,Column2,Column3,Column4,Column5,Column6,Column7
T18,Employment by economic activity,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Male and Female,36.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Male and Female,21.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Male and Female,41.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Male,37.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Male,24.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Male,38.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Female,36.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Female,16.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Female,46.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Male and Female,32.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Male and Female,22.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Male and Female,44.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Male,33.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
