incikey,inci_id,nibrs,offense,date_occu,hour_occu,date_rept,hour_rept,streetmasked,street,reportedas,geoy,geox,category,OBJECTID,x,y
5357,2024000814,520,UNLAWFUL POSSESSION OF  FIREARMS AND/OR FIREARM AMMUNITION  ,2024-01-27,1851,2024-01-27,1851,100-BLK of,BRUCE LN/SCOTS DR,TRAFFIC STOP,41.789460664796,-88.210596297826,Weapon Offenses,1,-9819558.66244501,5129493.6606096
5358,2024000814,90Z,SUSPENDED OR REVOKED DRIVER`S LICENSE                       ,2024-01-27,1851,2024-01-27,1851,100-BLK of,BRUCE LN/SCOTS DR,TRAFFIC STOP,41.789460664796,-88.210596297826,Other Criminal Offenses,2,-9819558.66244501,5129493.6606096
5359,2024000814,99B3,OPERATING MOTOR VEHICLE WITH SUSPENDED REGISTRATION         ,2024-01-27,1851,2024-01-27,1851,100-BLK of,BRUCE LN/SCOTS DR,TRAFFIC STOP,41.789460664796,-88.210596297826,Traffic,3,-9819558.66244501,5129493.6606096
5360,2024000814,99N7,SIGN VIOLATION                                              ,2024-01-27,1851,2024-01-27,1851,100-BLK of,BRUCE LN/SCOTS DR,TRAFFIC STOP,41.789460664796,-88.210596297826,Traffic,4,-9819558.66244501,5129493.6606096
5361,2024000836,13C,STALKING                                                    ,2024-01-28,1818,2024-01-28,1822,1600-BLK of,ESTATE CR,"SUSPICIOUS VEH,",41.747511289176,-88.097215017514,Assault/Battery,5,-9806937.11605519,5123232.57541719
5362,9024000077,23H,THEFT - ALL OTHER LARCENY,2024-01-27,1100,2024-01-27,1704,100-BLK of,W GARTNER RD,IDENTITY THEFT,41.755272454132,-88.142787436727,Theft,6,-9812010.2145562,5124390.64675967
5363,2024000756,99A1,CRIMINAL DAMAGE TO MOBILE VEHICLE                           ,2024-01-25,1600,2024-01-26,0756,1300-BLK of,MODAFF RD,CRIMINAL DAMAGE,41.746563406471,-88.147718906922,Criminal Damage and Trespass,7,-9812559.18330717,5123091.14802276
5365,2024000804,23C,THEFT - SHOPLIFTING                                         ,2024-01-27,1210,2024-01-27,1210,1900-BLK of,W JEFFERSON AV,THEFT,41.770102238176,-88.204061616307,Theft,8,-9818831.22502582,5126603.84168529
5367,2024000803,99C2,ASSIST CITY FIRE DEPARTMENT                                 ,2024-01-27,1205,2024-01-27,1205,2000-BLK of,BUTTERFLY LN,ASSIST FIRE DEP,41.809957793908,-88.20223103731,Non-Criminal Offenses,9,-9818627.44590402,5132554.41595895
5371,2024000789,99T6,ILLINOIS MURDERER AND VIOLENT OFFENDERS AGAINST YOUTH       ,2024-01-26,1933,2024-01-26,1934,1100-BLK of,CRESTHAVEN LN,INFORMATION FOR,41.693009729294,-88.169883779958,Non-Criminal Offenses,10,-9815026.56568704,5115104.14173685
5511,9024000088,99P6,PARKING COMPLAINT,2024-01-29,1525,2024-01-30,0735,3700-BLK of,LAWRENCE DR,PARKING COMPLAI,41.695203252399,-88.181313962811,Traffic,11,-9816298.96782191,5115431.15354256
5512,2024000870,99M4,MOTORIST ASSISTANCE                                         ,2024-01-29,1854,2024-01-29,1854,,BN RR/N NAPER BL,MOTORIST ASSIST,41.783601100749,-88.110502177772,Traffic,12,-9808416.2359692,5128618.85493804
5514,9024000077,26F,IDENTITY THEFT,2024-01-27,1100,2024-01-27,1704,100-BLK of,W GARTNER RD,IDENTITY THEFT,41.755272454132,-88.142787436727,Theft,13,-9812010.2145562,5124390.64675967
5515,2024000894,23H,THEFT - ALL OTHER LARCENY                                   ,2024-01-29,1934,2024-01-30,1433,2700-BLK of,W 75TH ST,THEFT,41.747154302946,-88.201878205373,Theft,14,-9818588.16883246,5123179.31158567
